N,ntracks,q16,q50,q84,sigma_log10M
227,6,-0.016530326090788704,-0.008482842544403901,-0.0014320223977176013,0.007549151846535551
228,6,-0.019116928933379997,-0.007095173738451699,-0.0024962443330917225,0.008310342300144137
229,6,-0.01919018083970343,-0.007910062564770115,-0.003338280793350989,0.00792595002317622
230,6,-0.020116834921842398,-0.00801395049685727,-0.0019036268930129547,0.009106604014414722
231,6,-0.01846128417182804,-0.007645714959637395,-0.004569642135312434,0.006945821018257803
232,6,-0.01690808155862129,-0.007595165425920314,-0.0025805214531320784,0.007163780052744605
233,6,-0.0157857809785412,-0.0074374222301401005,-0.004027075011714487,0.005879352983413356
234,6,-0.0173969851535535,-0.009637987901553124,0.0018690737073075788,0.00963302943043054
235,6,-0.013256891526912184,-0.008250481630671658,-0.00022670296298592414,0.00651509428196313
236,6,-0.014676437290761157,-0.00823956697213113,0.0009240832185586367,0.007800260254659897
237,6,-0.012841284376006356,-0.008363330165123806,-0.000558903526128417,0.00614119042493897
238,6,-0.01349043701299557,-0.009693889794445631,-1.659586176039232e-05,0.00673692057561759
239,6,-0.015098722898720496,-0.00790278318984683,0.00032873294275965917,0.007713727920740077
240,6,-0.013029952274433753,-0.005947555567598073,0.001231181701896845,0.007130566988165299
241,6,-0.011238911971354425,-0.0026368711650892607,0.0010086195056874924,0.0061237657385209586
242,6,-0.012054932442378785,-0.003550066455406231,0.003312574175891925,0.007683753309135355
243,6,-0.009730518583413427,0.0004220369025782489,0.004722469582165445,0.007226494082789437
244,6,-0.007437188494352753,-0.002283007342563259,0.004158229969943861,0.005797709232148307
245,6,-0.008357260359760588,0.0010471172684534125,0.003240472115441762,0.005798866237601175
246,5,-0.008911821385213941,-0.0006911292523508195,0.003452680636928775,0.006182251011071358
247,5,-0.011221744689117089,6.327607054146256e-05,0.0021848670027229387,0.006703305845920013
248,5,-0.013847623477255268,-0.0016207955383986672,0.0016346204089047233,0.007741121943079996
249,5,-0.01388512799918189,-0.0012982213348138316,0.0006208216458821164,0.007252974822532003
250,5,-0.01550493219153104,-0.002888579734280583,0.0020510962058587967,0.008778014198694919
251,5,-0.016622143440356965,-0.002745800715027613,0.00783031548691035,0.012226229463633657
252,5,-0.016513705491443247,-0.0004973360882054578,0.006238649380185634,0.011376177435814441
253,5,-0.018164800683084934,-0.0006175506973722378,0.005398784415520409,0.011781792549302672
254,5,-0.01788806562878122,0.0011772489335317715,0.010722247428613442,0.014305156528697332
255,5,-0.01923852937289439,0.0018955463437286824,0.009867516349831148,0.014553022861362768
256,5,-0.019668207785116038,0.00036260372206697866,0.00765920782164315,0.013663707803379594
257,5,-0.019496704051902326,0.0006663819392898063,0.006785881241542384,0.013141292646722355
258,5,-0.018690751431542908,0.00025008806175996767,0.004387602878073977,0.011539177154808442
259,5,-0.021293574177605877,-1.707607735212946e-06,0.0028668055103398867,0.012080189843972883
260,5,-0.02183720979116778,-0.002384704878206634,0.004670323894098586,0.013253766842633182
261,5,-0.022792816832037557,-0.0012775686386365948,0.003345577213830352,0.013069197022933954
262,5,-0.022979777809361578,-0.00036441213802085315,0.003236445777266396,0.013108111793313986
263,5,-0.01999147134284115,-0.0017179863317284827,0.006297261193551904,0.013144366268196529
264,5,-0.021714550641852313,-0.0033691272191589405,0.0059316191132545975,0.013823084877553456
265,5,-0.022429046093549232,-0.003909354590778236,0.005033911352389708,0.01373147872296947
266,5,-0.024746353886322153,-0.0049915868876908576,0.006539158280018568,0.01564275608317036
267,5,-0.02163293193387247,0.0,0.007553627979361295,0.014593279956616882
268,4,,,,
269,4,,,,
270,4,,,,
271,4,,,,
272,4,,,,
273,4,,,,
274,4,,,,
275,4,,,,
276,4,,,,
277,4,,,,
278,4,,,,
279,4,,,,
280,4,,,,
281,4,,,,
282,4,,,,
283,4,,,,
284,4,,,,
285,4,,,,
286,4,,,,
287,4,,,,
288,4,,,,
289,4,,,,
290,4,,,,
291,4,,,,
292,4,,,,
293,4,,,,
294,4,,,,
295,4,,,,
296,4,,,,
297,4,,,,
298,4,,,,
299,4,,,,
300,3,,,,
301,3,,,,
302,3,,,,
303,3,,,,
304,3,,,,
305,3,,,,
306,3,,,,
307,3,,,,
308,3,,,,
309,3,,,,
310,3,,,,
311,3,,,,
312,3,,,,
313,3,,,,
314,3,,,,
315,3,,,,
316,3,,,,
317,3,,,,
318,3,,,,
319,3,,,,
320,3,,,,
321,3,,,,
322,3,,,,
323,3,,,,
324,3,,,,
325,3,,,,
326,3,,,,
327,3,,,,
328,3,,,,
329,3,,,,
330,3,,,,
331,3,,,,
332,3,,,,
333,3,,,,
334,3,,,,
335,3,,,,
336,3,,,,
337,3,,,,
338,3,,,,
339,3,,,,
340,3,,,,
341,3,,,,
342,3,,,,
343,3,,,,
344,3,,,,
345,3,,,,
346,3,,,,
347,3,,,,
348,3,,,,
349,3,,,,
350,3,,,,
351,3,,,,
352,3,,,,
353,3,,,,
354,3,,,,
355,3,,,,
356,3,,,,
357,3,,,,
358,3,,,,
359,3,,,,
360,3,,,,
361,3,,,,
362,3,,,,
363,3,,,,
364,3,,,,
365,3,,,,
366,3,,,,
367,3,,,,
368,3,,,,
369,3,,,,
370,3,,,,
371,3,,,,
372,3,,,,
373,3,,,,
374,3,,,,
375,3,,,,
376,3,,,,
377,3,,,,
378,3,,,,
379,3,,,,
380,3,,,,
381,3,,,,
382,3,,,,
383,3,,,,
384,3,,,,
385,3,,,,
386,3,,,,
387,3,,,,
388,3,,,,
389,3,,,,
390,3,,,,
391,3,,,,
392,3,,,,
393,3,,,,
394,3,,,,
395,3,,,,
396,3,,,,
397,3,,,,
398,3,,,,
399,3,,,,
400,3,,,,
401,3,,,,
402,3,,,,
403,3,,,,
404,3,,,,
405,3,,,,
406,3,,,,
407,3,,,,
408,3,,,,
409,3,,,,
410,3,,,,
411,3,,,,
412,3,,,,
413,3,,,,
414,3,,,,
415,3,,,,
416,3,,,,
417,3,,,,
418,3,,,,
419,3,,,,
420,3,,,,
421,3,,,,
422,3,,,,
423,3,,,,
424,3,,,,
425,3,,,,
426,3,,,,
427,3,,,,
428,3,,,,
429,3,,,,
430,3,,,,
431,3,,,,
432,3,,,,
433,3,,,,
434,3,,,,
435,3,,,,
436,3,,,,
437,3,,,,
438,3,,,,
439,3,,,,
440,3,,,,
441,3,,,,
442,3,,,,
443,3,,,,
444,3,,,,
445,3,,,,
446,3,,,,
447,3,,,,
448,3,,,,
449,3,,,,
450,3,,,,
451,3,,,,
452,3,,,,
453,3,,,,
454,3,,,,
455,3,,,,
456,3,,,,
457,3,,,,
458,3,,,,
459,3,,,,
460,3,,,,
461,3,,,,
462,3,,,,
463,3,,,,
464,3,,,,
465,3,,,,
466,3,,,,
467,3,,,,
468,3,,,,
469,3,,,,
470,3,,,,
471,3,,,,
472,3,,,,
473,3,,,,
474,3,,,,
475,3,,,,
476,3,,,,
477,3,,,,
478,3,,,,
479,3,,,,
480,3,,,,
481,3,,,,
482,3,,,,
483,3,,,,
484,3,,,,
485,3,,,,
486,3,,,,
487,3,,,,
488,3,,,,
489,3,,,,
490,3,,,,
491,3,,,,
492,3,,,,
493,3,,,,
494,3,,,,
495,2,,,,
496,2,,,,
497,2,,,,
498,2,,,,
499,2,,,,
500,2,,,,
501,2,,,,
502,2,,,,
503,2,,,,
504,2,,,,
505,2,,,,
506,2,,,,
507,2,,,,
508,2,,,,
509,2,,,,
510,2,,,,
511,2,,,,
512,2,,,,
513,2,,,,
514,2,,,,
515,2,,,,
516,2,,,,
517,2,,,,
518,2,,,,
519,2,,,,
520,2,,,,
521,2,,,,
522,2,,,,
523,2,,,,
524,2,,,,
525,2,,,,
526,2,,,,
527,2,,,,
528,1,,,,
529,1,,,,
530,1,,,,
531,1,,,,
532,1,,,,
533,1,,,,
534,1,,,,
535,1,,,,
536,1,,,,
537,1,,,,
538,1,,,,
539,1,,,,
540,1,,,,
541,1,,,,
542,1,,,,
543,1,,,,
544,1,,,,
545,1,,,,
546,1,,,,
547,1,,,,
548,1,,,,
549,1,,,,
550,1,,,,
551,1,,,,
552,1,,,,
553,1,,,,
554,1,,,,
555,1,,,,
556,1,,,,
557,1,,,,
558,1,,,,
559,1,,,,
560,1,,,,
561,1,,,,
562,1,,,,
563,1,,,,
564,1,,,,
565,1,,,,
566,1,,,,
567,1,,,,
568,1,,,,
569,1,,,,
570,1,,,,
571,1,,,,
572,1,,,,
573,1,,,,
574,1,,,,
575,1,,,,
576,1,,,,
577,1,,,,
578,1,,,,
579,1,,,,
580,1,,,,
581,1,,,,
582,1,,,,
583,1,,,,
584,1,,,,
585,1,,,,
586,1,,,,
587,1,,,,
588,1,,,,
589,1,,,,
590,1,,,,
591,1,,,,
592,1,,,,
593,1,,,,
594,1,,,,
595,1,,,,
596,1,,,,
597,1,,,,
598,1,,,,
599,1,,,,
600,1,,,,
601,1,,,,
602,1,,,,
603,1,,,,
604,1,,,,
605,1,,,,
606,1,,,,
607,1,,,,
608,1,,,,
609,1,,,,
610,1,,,,
611,1,,,,
612,1,,,,
613,1,,,,
614,1,,,,
615,1,,,,
